Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,name,platform,meta_score,user_score
10069,The Hardy Boys: Treasure on the Tracks,DS,2009.0,Adventure,Sega,0.11,0.0,0.0,0.01,0.11,The Hardy Boys: Treasure on the Tracks,DS,65.0,
10073,Ping Pals,DS,2004.0,Misc,THQ,0.1,0.0,0.0,0.01,0.11,Ping Pals,DS,28.0,3.8
10081,Digimon World DS,DS,2006.0,Role-Playing,Namco Bandai Games,0.1,0.0,0.0,0.01,0.11,Digimon World DS,DS,71.0,7.9
10089,Super Swing Golf Season 2,Wii,2007.0,Sports,Rising Star Games,0.08,0.0,0.03,0.01,0.11,Super Swing Golf Season 2,Wii,70.0,
10096,GoldenEye: Rogue Agent,DS,2005.0,Shooter,Electronic Arts,0.1,0.0,0.0,0.01,0.11,GoldenEye: Rogue Agent,DS,58.0,7.4
10098,Cake Mania,DS,2007.0,Puzzle,Majesco Entertainment,0.09,0.01,0.0,0.01,0.11,Cake Mania,DS,55.0,6.1
10116,WireWay,DS,2009.0,Adventure,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,WireWay,DS,62.0,
10139,Lost in Blue,DS,2005.0,Adventure,Konami Digital Entertainment,0.07,0.02,0.02,0.01,0.11,Lost in Blue,DS,69.0,7.6
10155,Spyborgs,Wii,2009.0,Action,Capcom,0.1,0.01,0.0,0.01,0.11,Spyborgs,Wii,66.0,6.9
10167,Project CARS,PC,2015.0,Racing,Slightly Mad Studios,0.0,0.1,0.0,0.01,0.11,Project CARS,PC,83.0,7.2
10169,Eragon,PSP,2006.0,Action,Vivendi Games,0.1,0.0,0.0,0.01,0.11,Eragon,PSP,59.0,7.2
10171,Guitar Rock Tour,DS,2007.0,Misc,Gameloft,0.1,0.0,0.0,0.01,0.11,Guitar Rock Tour,DS,60.0,
10176,Machinarium,PC,2009.0,Adventure,Daedalic,0.0,0.09,0.0,0.02,0.11,Machinarium,PC,85.0,8.7
10185,Naruto Shippuden: Naruto vs. Sasuke,DS,2008.0,Action,Takara Tomy,0.08,0.0,0.03,0.01,0.11,Naruto Shippuden: Naruto vs. Sasuke,DS,64.0,
10186,DualPenSports,3DS,2011.0,Sports,Namco Bandai Games,0.05,0.05,0.0,0.01,0.11,DualPenSports,3DS,58.0,3.0
10197,Avatar: The Last Airbender,PSP,2006.0,Adventure,THQ,0.1,0.0,0.0,0.01,0.11,Avatar: The Last Airbender,PSP,57.0,6.1
10208,EA Replay,PSP,2006.0,Action,Electronic Arts,0.09,0.0,0.0,0.01,0.11,EA Replay,PSP,56.0,6.3
10211,Trauma Center: Under the Knife 2,DS,2008.0,Simulation,Atlus,0.1,0.0,0.0,0.01,0.11,Trauma Center: Under the Knife 2,DS,79.0,7.8
10213,Split/Second,PSP,2010.0,Racing,Disney Interactive Studios,0.07,0.02,0.0,0.02,0.11,Split/Second,PSP,63.0,8.3
10229,BlazBlue: Calamity Trigger Portable,PSP,2010.0,Fighting,PQube,0.07,0.01,0.03,0.01,0.11,BlazBlue: Calamity Trigger Portable,PSP,82.0,7.4
10240,Gabrielle's Ghostly Groove 3D,3DS,2011.0,Adventure,Funbox Media,0.08,0.02,0.0,0.01,0.11,Gabrielle's Ghostly Groove 3D,3DS,62.0,7.4
10245,Touch Detective 2 1/2,DS,2007.0,Adventure,505 Games,0.09,0.0,0.01,0.01,0.11,Touch Detective 2 1/2,DS,67.0,7.0
10248,Call of Juarez: The Cartel,PC,2011.0,Shooter,Ubisoft,0.05,0.05,0.0,0.01,0.11,Call of Juarez: The Cartel,PC,51.0,3.5
10251,Tornado Outbreak,Wii,2009.0,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Tornado Outbreak,Wii,71.0,8.2
10254,Astro Boy: The Video Game,Wii,2009.0,Action,D3Publisher,0.1,0.0,0.0,0.01,0.11,Astro Boy: The Video Game,Wii,48.0,3.4
10262,Bust-A-Move DS,DS,2005.0,Puzzle,505 Games,0.08,0.02,0.0,0.01,0.11,Bust-A-Move DS,DS,75.0,7.3
10265,Death Jr.: Root of Evil,Wii,2008.0,Platform,Eidos Interactive,0.1,0.0,0.0,0.01,0.11,Death Jr.: Root of Evil,Wii,71.0,8.0
10268,Sonic Generations,PC,2011.0,Platform,Sega,0.02,0.07,0.0,0.02,0.11,Sonic Generations,PC,77.0,8.3
